,省份,确诊人数,疑似人数,治愈人数,死亡人数
218,临汾,2,0,2,0
219,浙江,1324,3,1320,1
220,境外输入,105,2,102,0
221,温州,504,0,503,1
222,杭州,181,0,181,0
223,宁波,157,0,157,0
224,台州,147,0,147,0
225,金华,55,0,55,0
226,嘉兴,46,0,46,0
227,绍兴,42,0,42,0
228,省十里丰监狱,36,0,36,0
229,丽水,17,0,17,0
230,衢州,14,0,14,0
231,湖州,10,0,10,0
232,舟山,10,0,10,0
233,湖北,68153,0,63639,4512
234,武汉,50358,0,46487,3869
235,孝感,3518,0,3389,129
236,黄冈,2907,0,2782,125
237,荆州,1580,0,1528,52
238,鄂州,1394,0,1335,59
239,随州,1307,0,1262,45
240,襄阳,1175,0,1135,40
241,黄石,1015,0,976,39
242,宜昌,931,0,894,37
243,荆门,928,0,887,41
244,咸宁,836,0,821,15
245,十堰,672,0,664,8
246,仙桃,575,0,553,22
247,天门,496,0,481,15
248,恩施州,252,0,245,7
249,潜江,198,0,189,9
250,神农架林区,11,0,11,0
251,山东,871,14,862,7
252,境外输入,93,14,91,0
253,济宁,260,0,260,0
254,青岛,80,0,79,1
255,临沂,49,0,49,0
256,济南,47,0,47,0
257,烟台,47,0,47,0
258,潍坊,44,0,44,0
259,威海,38,0,37,1
260,聊城,38,0,38,0
261,德州,37,0,35,2
262,泰安,35,0,33,2
263,淄博,30,0,29,1
264,枣庄,24,0,24,0
265,菏泽,18,0,18,0
266,日照,16,0,16,0
267,滨州,15,0,15,0
268,甘肃,193,0,189,2
269,境外输入,101,0,99,0
270,兰州,36,0,34,2
271,天水,12,0,12,0
272,平凉,9,0,9,0
273,定西,9,0,9,0
274,甘南,8,0,8,0
275,白银,4,0,4,0
276,陇南,4,0,4,0
277,庆阳,3,0,3,0
278,临夏,3,0,3,0
279,张掖,2,0,2,0
280,金昌,1,0,1,0
281,省级（湖北输入）,1,0,1,0
282,澳门,49,9,48,0
283,黑龙江,1610,394,1597,13
284,绥化,536,0,532,4
285,哈尔滨,410,8,406,4
286,境外输入,390,386,390,0
287,双鸭山,52,0,49,3
288,鸡西,46,0,46,0
289,齐齐哈尔,44,0,43,1
290,牡丹江,36,0,36,0
291,大庆,29,0,28,1
292,黑河,24,0,24,0
293,七台河,17,0,17,0
294,佳木斯,15,0,15,0
295,鹤岗,5,0,5,0
296,大兴安岭,3,0,3,0
297,待明确,2,0,2,0
298,伊春,1,0,1,0
299,河北,1317,0,1310,7
300,石家庄,898,0,889,1
301,邢台,94,0,90,1
302,保定,49,0,48,0
303,唐山,58,0,57,1
304,沧州,49,0,46,3
305,张家口,43,0,43,0
306,境外输入,36,0,36,0
307,廊坊,33,0,33,0
308,邯郸,32,0,32,0
309,秦皇岛,10,0,9,1
310,衡水,8,0,8,0
311,承德,7,0,7,0
312,待明确,0,0,12,0
313,安徽,994,0,988,6
314,合肥,174,0,173,1
315,蚌埠,160,0,155,5
316,阜阳,156,0,156,0
317,亳州,108,0,108,0
318,安庆,83,0,83,0
319,六安,69,0,69,0
320,宿州,41,0,41,0
321,马鞍山,38,0,38,0
322,芜湖,34,0,34,0
323,铜陵,29,0,29,0
324,淮北,27,0,27,0
325,淮南,27,0,27,0
326,池州,17,0,17,0
327,滁州,13,0,13,0
328,黄山,9,0,9,0
329,宣城,6,0,6,0
330,境外输入,3,0,3,0
331,新疆,980,0,977,3
332,乌鲁木齐,845,0,845,0
333,喀什地区,80,0,80,0
334,伊犁州,18,0,18,0
335,兵团第四师,10,0,9,1
336,昌吉州,5,0,5,0
337,兵团第八师石河子市,4,0,3,1
338,兵团第九师,4,0,3,1
339,吐鲁番,3,0,3,0
340,巴州,3,0,3,0
341,兵团第十二师,3,0,3,0
342,兵团第六师五家渠市,2,0,2,0
343,兵团第七师,1,0,1,0
344,阿克苏地区,1,0,1,0
345,待明确地区,1,0,1,0
346,江西,937,0,936,1
347,南昌,230,0,230,0
348,新余,129,0,129,0
349,上饶,123,0,123,0
350,九江,116,0,116,0
351,宜春,106,0,106,0
352,赣州,74,0,73,1
353,抚州,72,0,72,0
354,萍乡,33,0,33,0
355,吉安,22,0,22,0
356,鹰潭,18,0,18,0
357,境外输入,7,0,7,0
358,景德镇,6,0,6,0
359,赣江新区,1,0,1,0
360,重庆,591,15,585,6
361,万州区,118,0,114,4
362,江北区,28,0,28,0
363,云阳县,25,0,25,0
364,合川区,23,0,23,0
365,綦江区,23,0,23,0
366,长寿区,22,0,22,0
367,奉节县,22,0,22,0
368,九龙坡区,21,0,20,1
369,开州区,21,0,20,1
370,忠县,21,0,21,0
371,渝中区,20,0,20,0
372,垫江县,20,0,20,0
373,潼南区,18,0,18,0
374,渝北区,17,0,17,0
375,两江新区,17,0,17,0
376,南岸区,15,0,15,0
377,石柱县,15,0,15,0
378,境外输入,15,0,15,0
379,大足区,14,0,14,0
380,巫溪县,14,0,14,0
381,铜梁区,10,0,10,0
382,丰都县,10,0,10,0
383,巫山县,10,0,10,0
384,沙坪坝区,9,0,9,0
385,璧山区,9,0,9,0
386,荣昌区,9,0,9,0
387,大渡口区,7,0,7,0
388,巴南区,6,0,6,0
389,涪陵区,5,0,5,0
390,永川区,5,0,5,0
391,江津区,4,0,4,0
392,梁平区,4,0,4,0
393,高新区,4,0,4,0
394,黔江区,2,0,2,0
395,城口县,2,0,2,0
396,彭水县,2,0,2,0
397,武隆区,1,0,1,0
398,秀山县,1,0,1,0
399,酉阳县,1,0,1,0
400,万盛经开区,1,0,1,0
401,吉林,573,19,570,3
402,通化,313,0,312,1
403,长春,154,1,154,0
404,吉林市,60,12,59,1
405,四平,17,0,16,1
406,辽源,7,0,7,0
407,延边,7,1,7,0
408,公主岭,6,0,6,0
409,松原,6,0,6,0
410,梅河口,2,0,2,0
411,白城,1,0,1,0
412,辽宁,407,0,405,2
413,大连,161,0,161,0
414,境外输入,96,0,96,0
415,沈阳,70,0,70,0
416,锦州,12,0,12,0
417,葫芦岛,12,0,11,1
418,丹东,11,0,11,0
419,盘锦,11,0,11,0
420,阜新,8,0,8,0
421,铁岭,8,0,8,0
422,朝阳,6,0,5,1
423,鞍山,4,0,4,0
424,本溪,3,0,3,0
425,辽阳,3,0,3,0
426,营口,1,0,1,0
427,抚顺,1,0,1,0
428,广西,267,0,265,2
429,南宁,56,0,56,0
430,北海,44,0,43,1
431,桂林,32,0,32,0
432,河池,28,0,27,1
433,柳州,24,0,24,0
434,防城港,19,0,19,0
435,境外输入,14,0,14,0
436,玉林,11,0,11,0
437,来宾,11,0,11,0
438,钦州,8,0,8,0
439,贵港,8,0,8,0
440,梧州,5,0,5,0
441,贺州,4,0,4,0
442,百色,3,0,3,0
443,海南,171,0,165,6
444,三亚,57,0,56,1
445,海口,39,0,39,0
446,儋州,15,0,14,1
447,万宁,13,0,13,0
448,澄迈,9,0,8,1
449,昌江,7,0,7,0
450,琼海,6,0,5,1
451,临高,6,0,6,0
452,陵水,4,0,4,0
453,定安,3,0,2,1
454,文昌,3,0,3,0
455,东方,3,0,2,1
456,保亭,3,0,3,0
457,乐东,2,0,2,0
458,琼中,1,0,1,0
459,贵州,147,0,145,2
460,贵阳,36,0,35,1
461,遵义,32,0,32,0
462,毕节,23,0,23,0
463,黔南州,17,0,17,0
464,六盘水,10,0,9,1
465,铜仁,10,0,10,0
466,黔东南州,10,0,10,0
467,安顺,4,0,4,0
468,黔西南州,4,0,4,0
469,境外输入,1,0,1,0
470,宁夏,75,0,75,0
471,银川,36,0,36,0
472,吴忠,28,0,28,0
473,固原,5,0,5,0
474,中卫,4,0,4,0
475,宁东,1,0,1,0
476,石嘴山,1,0,1,0
477,青海,18,0,18,0
478,西宁,15,0,15,0
479,海北州,3,0,3,0
480,西藏,1,0,1,0
481,拉萨,1,0,1,0
